,name,sido,gugun
700,연수6점,인천광역시,연수구
701,연수동점,충청북도,충주시
702,연수주공점,인천광역시,연수구
703,연지점,경기도,안성시
704,연천점,경기도,연천군
705,연풍점,경기도,파주시
706,연풍점(충북),충청북도,괴산군
707,염창동점,서울특별시,강서구
708,영광점,전라남도,영광군
709,영덕점,경상북도,영덕군
710,영동아파트점,서울특별시,강남구
711,영등포점,서울특별시,영등포구
712,영오점,경상남도,고성군
713,영운동점,충청북도,청주시상당구
714,영월삼호점,강원도,영월군
715,영월점,강원도,영월군
716,영주지사,,
717,영천시장점,서울특별시,서대문구
718,영통1.경희점,경기도,수원시영통구
719,영통2점,경기도,수원시영통구
720,영해점,경상북도,영덕군
721,예산1점,충청남도,예산군
722,예산2점,충청남도,예산군
723,예천점,경상북도,예천군
724,오남리점,경기도,남양주시
725,오류1점,서울특별시,구로구
726,오목천점,경기도,수원시권선구
727,오산1점,경기도,오산시
728,오산2점,경기도,오산시
729,오성점,경기도,평택시
730,오정점,경기도,부천시오정구
731,오크밸리점,강원도,원주시
732,오포점,경기도,광주시
733,오학점,경기도,여주시
734,옥계점(대전),대전광역시,중구
735,옥산점,경상북도,경산시
736,옥수동점,서울특별시,성동구
737,옥천점(충북),충청북도,옥천군
738,옥포1점,경상남도,거제시
739,온수리점,인천광역시,강화군
740,온양1점,충청남도,아산시
741,와룡점,대구광역시,달서구
742,와수리점,강원도,철원군
743,왕십리점,서울특별시,성동구
744,왜관점,경상북도,칠곡군
745,외동점,경상남도,김해시
746,요선동점,강원도,춘천시
747,용강점,경상북도,경주시
748,용곡점,충청남도,천안시동남구
749,용운점,대전광역시,동구
750,용원점,경상남도,창원시진해구
751,용인구성점,경기도,용인시기흥구
752,용전점,대전광역시,대덕구
753,용현1호점,인천광역시,미추홀구
754,용현2호점,인천광역시,남구
755,용현점,경기도,의정부시
756,용호점,부산광역시,남구
757,용화점,충청남도,아산시
758,우만.지동점,경기도,수원시팔달구
759,우면동점,서울특별시,서초구
760,우성점,충청남도,천안시서북구
761,우암점,충청북도,청주시상당구
762,우천점,강원도,횡성군
763,우현점,경상북도,포항시북구
764,운남삼성점,광주광역시,광산구
765,운정1점,경기도,파주시
766,운정2점,경기도,파주시
767,운천점,경기도,포천시
768,운천한화점,경기도,포천시
769,울산신정1점,울산광역시,남구
770,원곡동점,경기도,안산시단원구
771,원동일산점,강원도,원주시
772,원미1점,경기도,부천시원미구
773,원북점,충청남도,태안군
774,원앙마을점,충청남도,천안시동남구
775,원종3점,경기도,부천시오정구
776,원주역전점,강원도,원주시
777,원주지사,테스트,테스트구
778,원천점,경기도,수원시영통구
779,원통점,강원도,인제군
780,월계동점,서울특별시,노원구
781,월계삼호점,서울특별시,노원구
782,월곡2점,서울특별시,성북구
783,월봉점,충청남도,천안시서북구
784,월산부영점,충청남도,홍성군
785,월평점,대전광역시,서구
786,월피주공점,경기도,안산시상록구
787,위례신도시점,경기도,성남시수정구
788,위미점,제주특별자치도,서귀포시
789,유구점,충청남도,공주시
790,유성1점,대전광역시,유성구
791,유성2점,대전광역시,유성구
792,유천2체인,대전광역시,중구
793,유천점,대전광역시,중구
794,율도점,인천광역시,서구
795,율량점,충청북도,청주시상당구
796,율암온천점,경기도,화성시
797,율하점,대구광역시,동구
798,으뜸점,광주광역시,서구
799,은빛점,경기도,고양시덕양구
800,은평구청점,서울특별시,은평구
801,은행나무점,서울특별시,금천구
802,은행점,경기도,성남시중원구
803,은행택지점,경기도,시흥시
804,음봉점,충청남도,아산시
805,음성점,충청북도,음성군
806,응암1점,서울특별시,은평구
807,의당.신한점,충청남도,공주시
808,의정부지사,,
809,이대점,서울특별시,마포구
810,이도점,제주특별자치도,제주시
811,이동점,경기도,포천시
812,이매점,경기도,성남시분당구
813,이수점,충청남도,천안시서북구
814,이원점,충청북도,옥천군
815,이월점,충청북도,진천군
816,이주단지점,충청남도,당진시
817,이천중앙점,경기도,이천시
818,이천현대점,경기도,이천시
819,이충점,경기도,평택시
820,이포점,경기도,여주시
821,이화동점,서울특별시,종로구
822,인계점,경기도,수원시팔달구
823,인덕원점,경기도,안양시동안구
824,인동점,경상북도,구미시
825,인동점(대전),대전광역시,동구
826,인월점,전라북도,남원시
827,인제점,강원도,인제군
828,인제현리점,강원도,인제군
829,인창점,경기도,구리시
830,인천남부점,인천광역시,남동구
831,인천남촌점,인천광역시,남동구
832,인천지사,,
833,일도점,제주특별자치도,제주시
834,일동점,경기도,포천시
835,일신점,인천광역시,부평구
836,임계점,강원도,정선군
837,임광점,경기도,수원시영통구
838,임은점,경상북도,구미시
839,입암동점,강원도,강릉시
840,자유점,강원도,원주시
841,작전1점,인천광역시,계양구
842,작전3점,인천광역시,계양구
843,작전현대점,인천광역시,계양구
844,잠실새마을점,서울특별시,송파구
845,장계점,전라북도,장수군
846,장기2점,경기도,김포시
847,장기월드점,경기도,김포시
848,장락고암점,충청북도,제천시
849,장량점,경상북도,포항시북구
850,장림1점,부산광역시,사하구
851,장미점,서울특별시,송파구
852,장성점,강원도,태백시
853,장수점,경상북도,영주시
854,장암주공점,경기도,의정부시
855,장양리점,강원도,원주시
856,장위동점,서울특별시,성북구
857,장유2점,경상남도,김해시
858,장유점,경상남도,김해시
859,장평점,경상남도,거제시
860,장항점,충청남도,서천군
861,장현점,경기도,남양주시
862,장호원점,경기도,이천시
863,장흥관산점,전라남도,장흥군
864,장흥점,전라남도,장흥군
865,적성점,경기도,파주시
866,전곡터미널점,경기도,연천군
867,전남금산점,전라남도,고흥군
868,전대리점,경기도,용인시처인구
869,전대점,광주광역시,북구
870,전민점,대전광역시,유성구
871,전북지사,,
872,전하점,울산광역시,동구
873,점동점,경기도,여주시
874,정남점,경기도,화성시
875,정릉4동점,서울특별시,성북구
876,정릉점,서울특별시,성북구
877,정림점,대전광역시,서구
878,정산점,충청남도,청양군
879,정선점,강원도,정선군
880,정자점(분당),경기도,성남시분당구
881,정자점(수원),경기도,수원시장안구
882,제물포점,인천광역시,남구
883,제부도점,경기도,화성시
884,제주동문점,제주특별자치도,제주시
885,제주지사,,
886,제천역전점,충청북도,제천시
887,조암점,경기도,화성시
888,조양동점,강원도,속초시
889,조원점,경기도,수원시장안구
890,조원주공점,경기도,수원시장안구
891,조천점,제주특별자치도,제주시
892,조치원2점,세종특별자치시,조치원읍
893,조치원3점,세종특별자치시,조치원읍
894,종로낙원점,서울특별시,종로구
895,주공1점,경기도,평택시
896,주덕점,충청북도,충주시
897,주문진점,강원도,강릉시
898,주안1점,인천광역시,남구
899,주안2동점,인천광역시,남구
900,주안점,인천광역시,남구
901,주원점,인천광역시,남구
902,주천점,강원도,영월군
903,죽림점,경상남도,통영시
904,죽변점,경상북도,울진군
905,죽산점,경기도,안성시
906,죽전점,경기도,용인시수지구
907,죽정점,충청남도,보령시
908,중곡1점,서울특별시,광진구
909,중곡2점,서울특별시,광진구
910,중동1점,경기도,부천시원미구
911,중동동성점,경기도,부천시원미구
912,중리점(대구),대구광역시,서구
913,중리점(대전),대전광역시,대덕구
914,중마점,전라남도,광양시
915,중문점,제주특별자치도,서귀포시
916,중산점,경기도,고양시일산동구
917,중앙점(경주),경상북도,경주시
918,중촌점,대전광역시,중구
919,중탑점,경기도,성남시분당구
920,중화산동점,전라북도,전주시완산구
921,중흥리점,충청남도,당진시
922,중흥설악점,경기도,부천시원미구
923,증산동점,서울특별시,은평구
924,증평점,충청북도,증평군
925,지경리점,강원도,철원군
926,지곡점,충청남도,서산시
927,지리산온천점,전라남도,구례군
928,지원점,광주광역시,동구
929,지평점,경기도,양평군
930,직산부영점,충청남도,천안시서북구
931,직산점,충청남도,천안시서북구
932,진달래점,서울특별시,강남구
933,진도점,전라남도,진도군
934,진량점,경상북도,경산시
935,진보점,경상북도,청송군
936,진부점,강원도,평창군
937,진우점,강원도,원주시
938,진잠점,대전광역시,유성구
939,진주대곡점,경상남도,진주시
940,진천대곡점,대구광역시,달서구
941,진천점,충청북도,진천군
942,진하점,울산광역시,울주군
943,참이슬점,경기도,평택시
944,창녕점,경상남도,창녕군
945,창동역점,서울특별시,도봉구
946,창신동점,서울특별시,종로구
947,창원남양점,경상남도,창원시성산구
948,창현점,경기도,남양주시
949,천리점,경기도,용인시처인구
950,천마점,경기도,남양주시
951,천북점,충청남도,보령시
952,천안3점,충청남도,천안시동남구
953,천안4점,충청남도,천안시동남구
954,천안7단지점,충청남도,천안시서북구
955,천안백석점,충청남도,천안시서북구
956,천안신당점,충청남도,천안시서북구
957,천안신방점,충청남도,천안시동남구
958,천왕점,서울특별시,구로구
959,천천2점,경기도,수원시장안구
960,천호점,서울특별시,강동구
961,철산2점,경기도,광명시
962,철산3점,경기도,광명시
963,청당점,충청남도,천안시동남구
964,청도점,경상북도,청도군
965,청라2점,인천광역시,서구
966,청라점,충청남도,보령시
967,청량리점,서울특별시,동대문구
968,청룡동점,서울특별시,관악구
969,청룡점(천안),충청남도,천안시동남구
970,청림점,경상북도,포항시남구
971,청북신도시점,경기도,평택시
972,청북점,경기도,평택시
973,청양점,충청남도,청양군
974,청일점,강원도,횡성군
975,청주용암점,충청북도,청주시상당구
976,청천2점,인천광역시,부평구
977,청풍점,충청북도,제천시
978,초가점,경기도,포천시
979,초계점,경상남도,합천군
980,초원점,충청남도,아산시
981,초월점,경기도,광주시
